block,timestamp,pool,eth_amount,usdc_amount,price,direction,tx_hash,block_price_min,block_price_max,block_price_mean,block_price_std,block_price_range,block_relative_range,block_slippage,prev_price,local_slippage
19000752,1705182491,v3_0.05%,0.04,102.621135,2565.528375,buy,37f11e1db0093b4385cb8bdf041416a5902127acc94b29dfdef7db481ef88d62,2565.528375,2565.8871121548486,2565.7077435774245,0.25366547485729324,0.3587371548487681,0.00013981996030014424,-6.990998015016074e-05,2565.8871121548486,-0.00013981018617280412
19000754,1705182515,v3_0.05%,0.2083253959202136,535.0,2568.097843456874,sell,32ead65e8138f28df91af6275b25effb97ba91d2b002f561cdb298797bb08883,2568.097843456874,2568.1460130462115,2568.121928251543,0.03406104326717914,0.04816958933724891,1.875673767952453e-05,-9.378368839850801e-06,,
19000754,1705182515,v3_0.05%,3.8597883257588883,9912.5,2568.1460130462115,sell,529f04809bd8ef1d65e1803105bee8a68b33742b7cd1a4844f1e0e93ce41ad4a,2568.097843456874,2568.1460130462115,2568.121928251543,0.03406104326717914,0.04816958933724891,1.875673767952453e-05,9.378368839673727e-06,2568.097843456874,1.8756913588778462e-05
19000755,1705182527,v2,0.01,25.637828,2563.7828,buy,bbdb458712f150fe996753659920fed3793f0e0207259232c286599a747051a1,2563.7828,2568.2193892961386,2566.2765846793195,2.063639906344297,4.4365892961386635,0.001728804027837497,-0.0009717521073946059,,
19000755,1705182527,v3_0.05%,2.336919054506814,6001.720827,2568.2193892961386,sell,a2106428be35faa12983b4874e92bbf8cc9f2f99074bc21523baf39a01314e9d,2563.7828,2568.2193892961386,2566.2765846793195,2.063639906344297,4.4365892961386635,0.001728804027837497,0.0007570519204428913,2563.7828,0.0017304856308961367
19000755,1705182527,v3_0.05%,23.19668904592003,59508.906982,2565.405212105767,buy,c7d0fce86d0e38cc72f1d29bef5e50c3fdfb3781ff81d980d6d8ce5bed3c6a61,2563.7828,2568.2193892961386,2566.2765846793195,2.063639906344297,4.4365892961386635,0.001728804027837497,-0.00033954741229161827,2568.2193892961386,-0.001095769778119621
19000755,1705182527,v3_0.05%,0.07441196170753896,191.067515,2567.698937315373,sell,264e0cace0974538eeceecf742f4704f6d9a36f720c63a1743ade971166dbbff,2563.7828,2568.2193892961386,2566.2765846793195,2.063639906344297,4.4365892961386635,0.001728804027837497,0.00055424759924351,2565.405212105767,0.000894098600401228
19000756,1705182539,v3_0.05%,30.102988786934883,77207.452896,2564.7769875099284,buy,73dd5e150033ffef18b68b4d43190b06343393488dd1ad1749916b9e8a874168,2564.4206346153846,2564.7769875099284,2564.5988110626568,0.2519795482275089,0.35635289454376107,0.00013895073685856702,6.947536842919485e-05,,
19000756,1705182539,v3_0.05%,0.052,133.349873,2564.4206346153846,buy,d5e1ad51827e06bc7bb3fff5084b2ddb2676c2c3e294a28ae3cb0e9115d2750f,2564.4206346153846,2564.7769875099284,2564.5988110626568,0.2519795482275089,0.35635289454376107,0.00013895073685856702,-6.947536842937217e-05,2564.7769875099284,-0.00013894108387557482
19000757,1705182551,v2,0.1,256.376825,2563.7682499999996,buy,4ff321e00a1e8bcc271d689db14857e008abb6c8a29875905b520a0325ff9235,2563.6070431484586,2563.7682499999996,2563.687646574229,0.11399045789822052,0.1612068515410101,6.288084734364013e-05,3.144042367190875e-05,,
19000757,1705182551,v3_0.05%,68.83154261243047,176457.027432,2563.6070431484586,buy,55b54fda0926b4b9da1e161f6a403198242be302ad05101b8d265a2e81248199,2563.6070431484586,2563.7682499999996,2563.687646574229,0.11399045789822052,0.1612068515410101,6.288084734364013e-05,-3.1440423671731375e-05,2563.7682499999996,-6.287887040531457e-05
19000761,1705182599,v2,0.007256063425409755,18.602761,2563.753913017855,buy,298cea6696128d092d478f09eff4b3e59d48d92cb31aa072b7aac912fd7a4083,2563.7097356321838,2563.753913017855,2563.7336057209873,0.022303149239145382,0.044177385671446245,1.7231659940355792e-05,7.9209855589617e-06,,
19000761,1705182599,v2,0.11916,305.494921,2563.7371685129237,buy,b07ca9c3ed5a4ea3a76f3c57c509cf02ffd9710ecc3d9822ed0406903c53ee00,2563.7097356321838,2563.753913017855,2563.7336057209873,0.022303149239145382,0.044177385671446245,1.7231659940355792e-05,1.3896888227871449e-06,2563.753913017855,-6.53124500227721e-06
19000761,1705182599,v2,0.087,223.042747,2563.7097356321838,buy,c5abde8da86548fa27f6c24d10de03deed95009e5ab921aa6c46b1d3e8321eac,2563.7097356321838,2563.753913017855,2563.7336057209873,0.022303149239145382,0.044177385671446245,1.7231659940355792e-05,-9.31067438139409e-06,2563.7371685129237,-1.0700348334026756e-05
19000763,1705182623,v2,3.630107044714427,9304.748891,2563.216119080583,buy,67e1367428d1254fd0d6168c86ae88bbca8172b65d330f82bff4f91f8e917ef4,2563.216119080583,2563.216119080583,2563.216119080583,,0.0,0.0,0.0,,
19000764,1705182635,v2,0.55,1409.462845,2562.659718181818,buy,1d1f2669cdaac06d2236224fa5b991eaa1598574ccd62598d67fac962f9d970f,2562.659718181818,2565.3939424982605,2564.026830340039,1.9333885554418604,2.734224316442578,0.0010663789801606592,-0.0005331894900802409,,
19000764,1705182635,v3_0.05%,2.9538128898911356,7577.693695,2565.3939424982605,sell,68f4649f724d961c7253273bb018123dafb60d41b41b53a600ea680647fdba7c,2562.659718181818,2565.3939424982605,2564.026830340039,1.9333885554418604,2.734224316442578,0.0010663789801606592,0.0005331894900804183,2562.659718181818,0.0010669478655490334
19000765,1705182647,v3_0.05%,15.652960831844549,40113.518936,2562.679314599231,buy,cda214c088769f6673865f8e9cb2161e9d91f8b012366922a443b20b4d531a7e,2562.679314599231,2565.9121270299647,2564.2450700045183,1.6842862055120282,3.232812430733702,0.0012607267801934413,-0.0006106106719684683,,
19000765,1705182647,v3_0.05%,35.10697877030337,90066.041294,2565.474001146061,sell,e2c3e5d58cedbdb2a48d9c1b44dedc97e9f992b3023bbaec73e25e094162f6b3,2562.679314599231,2565.9121270299647,2564.2450700045183,1.6842862055120282,3.232812430733702,0.0012607267801934413,0.00047925650941792533,2562.679314599231,0.0010905330725186082
19000765,1705182647,v3_0.05%,1.9486247979144493,5000.0,2565.9121270299647,sell,7429b293fd95dcd8eed613842017de2cccccfe3e8852cd4716d925503155e1aa,2562.679314599231,2565.9121270299647,2564.2450700045183,1.6842862055120282,3.232812430733702,0.0012607267801934413,0.000650116108224973,2565.474001146061,0.00017077775245751868
19000765,1705182647,v3_0.30%,14.908887994931018,38210.210249,2562.9148372428162,buy,cda214c088769f6673865f8e9cb2161e9d91f8b012366922a443b20b4d531a7e,2562.679314599231,2565.9121270299647,2564.2450700045183,1.6842862055120282,3.232812430733702,0.0012607267801934413,-0.0005187619456746074,2565.9121270299647,-0.001168118641154648
19000766,1705182659,v3_0.05%,41.448285968487134,106373.934513,2566.4254148862856,sell,8a3506b1d779db2b46ee87866a1f331d51f06c1d5b73566ec401a572ff330be9,2566.4254148862856,2566.4254148862856,2566.4254148862856,,0.0,0.0,0.0,,
19000768,1705182683,v3_0.05%,37.35871617655589,95913.194045,2567.3578714995947,sell,0d0b7553529a7f2156e3e05ff74b5a9ebdb68c796a9b156ed80f9a86e48a4166,2565.21906314185,2567.3578714995947,2566.2884673207222,1.5123658934198767,2.1388083577448924,0.0008334247630305835,0.00041671238151529176,,
19000768,1705182683,v3_0.05%,1.1712449993725387,3004.5,2565.21906314185,buy,3c4abd439438bdf09dbc9b12d0b056e4771e459e6c29a9503fa39358ce2d5bc7,2565.21906314185,2567.3578714995947,2566.2884673207222,1.5123658934198767,2.1388083577448924,0.0008334247630305835,-0.00041671238151529176,2567.3578714995947,-0.0008330776092760351
19000770,1705182707,v3_0.05%,1.9471956368536687,5000.0,2567.7954004042117,sell,6fc6841d0b9448e91fb52fc82f8d9caa2235de609ce7ed94fa2b4f975aed82d3,2565.250577902716,2567.7954004042117,2566.5229891534636,1.7994612477235428,2.5448225014956734,0.0009915447912411072,0.0004957723956206422,,
19000770,1705182707,v3_0.05%,0.05869067657440741,150.556292,2565.250577902716,buy,ea18969bbf5b7209426f9d3991cc83d58f370f829ecf33751cd90ed53cd23d6c,2565.250577902716,2567.7954004042117,2566.5229891534636,1.7994612477235428,2.5448225014956734,0.0009915447912411072,-0.000495772395620465,2567.7954004042117,-0.0009910534542958828
19000771,1705182719,v3_0.05%,48.08958659671998,123512.645172,2568.3865034602804,sell,372d901df78060dd23913a83b814e54832ed73509aa7a1a36a4d9fcc5c5bddc9,2566.385321875,2568.956763214471,2567.909529516584,1.3504464994249652,2.5714413394707663,0.0010013753638567038,0.0001857440607677143,,
19000771,1705182719,v3_0.05%,0.05712906659291544,146.762102,2568.956763214471,sell,cf674af13c6f298b64b7263192d205338aa1d0fe2ef8dd63723ad55f80a2cc5a,2566.385321875,2568.956763214471,2567.909529516584,1.3504464994249652,2.5714413394707663,0.0010013753638567038,0.0004078156515444062,2568.3865034602804,0.00022203034995787704
19000771,1705182719,v3_0.05%,0.32,821.243303,2566.385321875,buy,9c1774cf1aa379d6a2dd5596f2f7a2468a07c91389a175bae49c954fcff7d9e9,2566.385321875,2568.956763214471,2567.909529516584,1.3504464994249652,2.5714413394707663,0.0010013753638567038,-0.0005935597123122976,2568.956763214471,-0.0010009671537847085
19000772,1705182731,v3_0.05%,87.0888478295019,223816.964763,2569.9842211849837,sell,b374fead3bc35642b686cb50a0ad49a7bbd61a870b5a53a64e642ad8e947a6b2,2569.9842211849837,2571.0906851117907,2570.537453148387,0.7823881457835322,1.1064639268070096,0.0004304406945916371,-0.00021522034729581856,,
19000772,1705182731,v3_0.05%,5.8340999354318,15000.0,2571.0906851117907,sell,2bff8226cfaf6392cb68bc508860a3b5aacde0ded3a9b83edee070ce5fb863d0,2569.9842211849837,2571.0906851117907,2570.537453148387,0.7823881457835322,1.1064639268070096,0.0004304406945916371,0.00021522034729581856,2569.9842211849837,0.0004305333541296353
19000773,1705182743,v3_0.05%,2.820299998724358,7244.098866,2568.5561356155577,buy,a72c41984f4f96bf4ebce50b23aa5c76602507dffd883680e10fa06792cbf533,2568.5561356155577,2568.5561356155577,2568.5561356155577,,0.0,0.0,0.0,,
