bin_start_ts,start_block,end_block,num_swaps,total_eth,total_usdc,vwap
1705197600,19002002,19002051,52,289.30005385088117,742319.2282410001,2565.9145871560268
1705198200,19002055,19002101,46,314.73917749046194,805965.040498,2560.739488881788
1705198800,19002102,19002149,45,261.06128081240695,667580.019464,2557.177446561709
1705199400,19002152,19002201,44,332.95962581063435,851445.754511,2557.2042028760766
1705200000,19002203,19002249,44,372.59293192486075,954485.7447759999,2561.7387314488483
1705200600,19002253,19002300,49,196.22235952844844,502370.479456,2560.2101649540405
1705201200,19002303,19002349,39,247.59080529758666,633115.2901120001,2557.1034003102022
1705201800,19002352,19002401,40,401.92270082817936,1028768.0526220001,2559.61668873686
1705202400,19002402,19002447,43,321.01124046826294,820244.70442,2555.1899778446987
1705203000,19002451,19002500,41,116.24600970403955,296991.76859999995,2554.855597677169
1705203600,19002501,19002550,41,488.0041731796177,1245532.8276030002,2552.299541800357
1705204200,19002551,19002599,48,88.63811342519385,226117.277366,2551.016358858221
1705204800,19002601,19002647,42,410.20734069365267,1046277.7846829998,2550.6071707877395
1705205400,19002651,19002698,54,719.2085801073179,1834237.980003,2550.356086866068
1705206000,19002700,19002749,44,766.9212374306654,1955472.538744,2549.769706854398
1705206600,19002750,19002799,58,625.3842469354762,1593315.122468,2547.737859205126
1705207200,19002800,19002847,53,420.2901136094264,1069449.1079480003,2544.549760553812
1705207800,19002855,19002899,25,263.16013287763826,669548.738936,2544.263569160457
1705208400,19002902,19002948,32,167.51719731937206,426546.794534,2546.2865983889833
1705209000,19002949,19002997,36,260.67233297718553,664023.062363,2547.3476789004544
1705209600,19002998,19003046,17,142.891192444733,364279.707378,2549.350321356545
1705210200,19003049,19003097,28,431.48644275479086,1101219.5222089998,2552.153238415445
1705210800,19003099,19003145,27,311.3135658309511,794037.922982,2550.6049531204076
1705211400,19003149,19003193,28,138.6786269426717,353860.537347,2551.658789449092
1705212000,19003199,19003243,51,1224.340497747035,3128530.7938560005,2555.2783719994177
1705212600,19003247,19003295,23,801.5720552099675,2049323.0608569998,2556.629871933585
1705213200,19003299,19003344,29,1107.4602149588359,2830364.3542649997,2555.725538519868
1705213800,19003354,19003394,24,523.0888271858782,1334760.759457,2551.6904397246785
1705214400,19003397,19003442,13,138.40885174913166,353282.70541700005,2552.4574545082623
1705215000,19003445,19003494,16,154.41187242112585,394364.425365,2553.9773540822953
1705215600,19003495,19003543,20,434.1619801561548,1107170.473369,2550.1322639324258
1705216200,19003549,19003594,20,226.19455240329708,576352.6868940002,2548.039644502062
1705216800,19003595,19003634,27,355.01194094051306,903852.3760960001,2545.9773936095644
1705217400,19003647,19003694,18,139.17223356051463,354217.84430999996,2545.1761119863004
1705218000,19003697,19003743,30,151.0582175956433,384883.295986,2547.9136594625124
1705218600,19003745,19003792,18,107.85874236654571,274971.408026,2549.3659762093353
1705219200,19003795,19003839,23,132.87213786677214,338341.956547,2546.3724899666154
1705219800,19003846,19003890,21,85.85379805057462,218787.70344099996,2548.375359143888
1705220400,19003892,19003939,27,188.69310374680953,480571.235012,2546.840480491729
1705221000,19003941,19003989,20,76.83234028595383,195747.27783900002,2547.7198418071057
1705221600,19003993,19004039,18,86.47614632415667,220433.065821,2549.0620846436022
1705222200,19004041,19004087,21,115.87309251306169,295563.722236,2550.7537239733447
1705222800,19004091,19004137,23,51.32367945344585,130894.10910599997,2550.3648705609667
1705223400,19004140,19004188,26,172.45724380859244,439974.09654399997,2551.2068198905013
1705224000,19004192,19004238,28,188.28692310515885,479611.878878,2547.2394522594395
1705224600,19004244,19004287,24,683.7435120094044,1739919.347126,2544.695951867502
1705225200,19004292,19004335,19,195.76660969547896,498130.46916800004,2544.511906003059
1705225800,19004340,19004389,26,393.33392057609245,1002271.628836,2548.1444045508033
1705226400,19004390,19004437,21,137.9043425543089,351633.952098,2549.839588695483
