bin_id,start_block,end_block,rejection_rate,tolerance,swap_count,router_txs,failed_txs
119.0,19005880,19005929,0.07142857142857142,0.0009288584444247278,20,56,4
120.0,19005930,19005978,0.09433962264150944,0.0030298063273416402,6,53,5
121.0,19005979,19006028,0.0970873786407767,0.0026657431197992464,18,103,10
122.0,19006029,19006075,0.1686746987951807,0.0026709982444634356,10,166,28
123.0,19006079,19006126,0.1746031746031746,0.0001403235862647976,13,126,22
124.0,19006128,19006177,0.373134328358209,3.285915603545697e-05,23,134,50
125.0,19006179,19006227,0.14049586776859505,0.003148921114323372,7,121,17
126.0,19006228,19006276,0.13333333333333333,0.003906831905499445,14,105,14
127.0,19006278,19006325,0.18095238095238095,0.002419991120791424,15,105,19
128.0,19006327,19006376,0.11235955056179775,0.0008994355037210538,17,89,10
129.0,19006377,19006425,0.025,0.00132489696135951,28,80,2
130.0,19006427,19006475,0.07352941176470588,0.00236447527249803,12,136,10
131.0,19006476,19006525,0.044444444444444446,0.0030152818053002317,14,135,6
132.0,19006530,19006574,0.05970149253731343,0.0014928435638682813,14,67,4
133.0,19006576,19006623,0.03488372093023256,0.0037654417604094837,14,86,3
134.0,19006626,19006673,0.05172413793103448,0.005659664157568737,8,58,3
135.0,19006677,19006722,0.1276595744680851,0.005335062418310956,17,47,6
136.0,19006724,19006773,0.1346153846153846,0.004225213604350233,14,52,7
137.0,19006774,19006823,0.06329113924050633,0.003730227714399279,14,79,5
138.0,19006824,19006871,0.14516129032258066,0.0021493882777372346,25,62,9
139.0,19006874,19006922,0.12903225806451613,0.0009963388790523386,20,93,12
140.0,19006924,19006970,0.08974358974358974,0.002662596602733687,23,78,7
141.0,19006973,19007022,0.22115384615384615,0.0028162038126094166,25,104,23
142.0,19007026,19007071,0.1527777777777778,0.0012148636890589033,20,72,11
143.0,19007073,19007121,0.15384615384615385,5.816000651638119e-05,10,65,10
144.0,19007123,19007168,0.08333333333333333,0.0013058259344997135,32,36,3
145.0,19007173,19007198,0.2631578947368421,0.002213751344448132,9,19,5
