start_block,end_block,uni_lp_return,uni_log_cum_return,uni_cum_simple_return
19001556.0,19001605.0,0.0005903460772388715,0.0025479831611138963,0.002551232028976669
19001609.0,19001655.0,3.4873345650275726e-06,0.0025514704895982813,0.0025547282605413724
19001657.0,19001704.0,-0.0021148162385330933,0.00043441486939299135,0.00043450924119792234
19001706.0,19001753.0,0.0018215524775732287,0.002254310332173149,0.002256853200156117
19001754.0,19001802.0,-0.0004786040398006321,0.001775591724902664,0.001777169021296654
19001804.0,19001851.0,0.0017113225046544317,0.0034854515856653774,0.0034915328352917996
19001854.0,19001900.0,0.0008149988504587253,0.004300118504897714,0.004309377280997451
19001903.0,19001952.0,-0.0018510594429135192,0.002447343734344457,0.0024503409245748564
19001953.0,19002001.0,0.0003915631164393465,0.0028388302099524947,0.0028428635041428674
19002002.0,19002051.0,-0.0023225249593073257,0.0005136040062697486,0.000513735923391323
19002055.0,19002101.0,-0.0028274473132985016,-0.0023178480868341514,-0.0023151639511636013
19002102.0,19002149.0,-0.0015870318790450254,-0.0039061406349630125,-0.0038985215912129556
19002152.0,19002201.0,0.0013879703286919399,-0.0025191326467240652,-0.0025159622948154325
19002203.0,19002249.0,0.0013968240861776616,-0.0011232832118049003,-0.0011226525653710295
19002253.0,19002300.0,-0.0008270114612067939,-0.0019506368356514577,-0.0019487355800392736
19002303.0,19002349.0,-0.0018661874231490592,-0.0038185677560157055,-0.00381128629735783
19002352.0,19002401.0,0.00014140715113336504,-0.003677170601931055,-0.00367041808936186
19002402.0,19002447.0,-0.002870363444644218,-0.006551661439698416,-0.006530246100095782
19002451.0,19002500.0,0.00040293941674719047,-0.006148803181237389,-0.00612993797690331
19002501.0,19002550.0,-0.0019662179130987387,-0.008116956638327313,-0.0080841030961456
19002551.0,19002599.0,-0.000541401590935589,-0.00865850484002353,-0.008621127940803719
19002601.0,19002647.0,0.0002884393253489056,-0.008370107105299514,-0.008335175287781826
19002651.0,19002698.0,-0.0024259893233272876,-0.01079904390872705,-0.01074094356485289
19002700.0,19002749.0,-0.000684183490636037,-0.011483461559699365,-0.011417778279227964
19002750.0,19002799.0,-0.0027411590887712243,-0.01422838450483849,-0.01412763942129558
19002800.0,19002847.0,-0.0006192273972426384,-0.014847803702548689,-0.01473811859715013
19002855.0,19002899.0,-0.0007293216847335221,-0.015577391471724066,-0.015456691452398585
19002902.0,19002948.0,0.0014041121911854899,-0.014174264124281754,-0.01407428219011686
19002949.0,19002997.0,0.0011295469043186112,-0.013045354678086882,-0.012960632847676568
19002998.0,19003046.0,0.0007368633163896457,-0.012308762712180215,-0.012233319746189686
19003049.0,19003097.0,0.0015251696859175476,-0.010784754916311807,-0.010726807948707173
19003099.0,19003145.0,-7.978771028791986e-05,-0.010864545809808421,-0.010805739791550195
19003149.0,19003193.0,-0.0005291202944395919,-0.01139380613778962,-0.011329142549769688
19003199.0,19003243.0,0.0007622935624323394,-0.010631802973525258,-0.010575485119770911
19003247.0,19003295.0,0.0004714414148976859,-0.010160472652216757,-0.01010902942654135
19003299.0,19003344.0,0.00014082853226545338,-0.010019654035358112,-0.00996962453405259
19003354.0,19003394.0,-0.0023126733915022793,-0.012335005786212069,-0.012259241440171764
19003397.0,19003442.0,0.0016199320284424874,-0.010716384432379723,-0.010659168549582598
19003445.0,19003494.0,-0.00013661250642120904,-0.010853006271139293,-0.010794324880271877
19003495.0,19003543.0,-0.000955883176883729,-0.011809346595690055,-0.01173988994359676
19003549.0,19003594.0,-0.002296808396364549,-0.014108796702236035,-0.014009734062166546
19003595.0,19003634.0,-8.513646893124666e-05,-0.014193936795482183,-0.014093677791809145
19003647.0,19003694.0,-0.0010102811052716601,-0.015204728578690853,-0.015089720320703992
19003697.0,19003743.0,0.0012680167544516072,-0.013937515078529092,-0.013840837584438992
19003745.0,19003792.0,0.00011502727099834846,-0.013822494422659919,-0.013727402387216259
19003795.0,19003839.0,-0.0013133562152206843,-0.015136713846037254,-0.015022729633192844
19003846.0,19003890.0,0.0008565982072916676,-0.014280482309611821,-0.014178999869173592
19003892.0,19003939.0,0.00016496112346890587,-0.014115534790732952,-0.014016377729452856
19003941.0,19003989.0,0.0001268186988080804,-0.013988724132736175,-0.013891336569430313
19003993.0,19004039.0,0.0006270084994057373,-0.013361912121030878,-0.013273038056121678
19004041.0,19004087.0,0.000832051860090177,-0.012530206224196705,-0.012452030052035101
19004091.0,19004137.0,1.5991621792715837e-05,-0.012514214730268548,-0.012436237558397512
19004140.0,19004188.0,-0.00024123319265309182,-0.012755477024328533,-0.012674470717759845
19004192.0,19004238.0,-0.0018043867882329109,-0.014561493679303993,-0.014455987858481789
19004244.0,19004287.0,-0.00300806273538783,-0.017574089728679562,-0.017420566075489252
19004292.0,19004335.0,0.0009298584899813368,-0.016644663289294107,-0.016506906246773534
19004340.0,19004389.0,0.0038548590853518016,-0.012797215133937976,-0.012715678958938215
19004390.0,19004437.0,-0.0006076701268866673,-0.013405069967147003,-0.013315622147578421
19004442.0,19004485.0,-0.00048129385716397537,-0.013886479683375804,-0.013790507277598452
19004489.0,19004537.0,-0.0006725381802855974,-0.014559244118912558,-0.014453770815214373
19004539.0,19004586.0,-0.00176595297306173,-0.01632675822512167,-0.016194199108732987
19004588.0,19004636.0,-0.00042916190982457376,-0.01675601225127481,-0.016616411085140004
19004637.0,19004686.0,-0.001475608446710179,-0.018232710480322222,-0.018067500215298904
19004691.0,19004736.0,-0.0012888119098937074,-0.019522353622563673,-0.0193330265157331
19004738.0,19004785.0,-0.00024327421651981036,-0.019765657435055758,-0.019571597505374294
19004786.0,19004831.0,0.0027809810094593314,-0.01698853619896898,-0.016845044736902293
19004837.0,19004884.0,-0.001920501477224622,-0.018910884203706957,-0.018733195280825843
19004887.0,19004935.0,-0.0018186743771663096,-0.020731214376992227,-0.02051780007573245
19004936.0,19004984.0,-0.00020422777921259185,-0.020935463013537527,-0.02071783755020129
19004987.0,19005035.0,-0.0013948720607493586,-0.02233130881391999,-0.022083810878192778
19005036.0,19005084.0,0.0018271390001309731,-0.020505837001771363,-0.020297022070188908
19005086.0,19005135.0,0.0021699209953920614,-0.018338266884743146,-0.01817114400913089
19005141.0,19005183.0,-0.00010485907504686885,-0.01844313145788718,-0.018274097674824463
19005186.0,19005232.0,-0.0013197209220157176,-0.01976372397848788,-0.01956970188780771
19005235.0,19005277.0,-0.0021702209536537684,-0.02193630327433577,-0.02169745226436781
19005285.0,19005333.0,-0.0002564041447324122,-0.022192740296230883,-0.02194829309240942
19005334.0,19005381.0,0.0009692587360668359,-0.021223950988105877,-0.021000307931164253
19005383.0,19005430.0,-0.0013926132010843302,-0.022617534776160235,-0.022363675826196805
19005434.0,19005476.0,0.00022249929396192248,-0.02239506023149518,-0.022146152434316613
19005487.0,19005526.0,-0.0022888773326028363,-0.024686561047805988,-0.02438433994060818
19005532.0,19005579.0,0.001976634547126098,-0.022711877472264087,-0.022455904322217446
19005581.0,19005629.0,0.0019292023982816734,-0.020784533595004175,-0.020570023908409674
19005633.0,19005679.0,-0.0012473627688915118,-0.022032674968369765,-0.021791728395322618
19005680.0,19005728.0,-0.0013763034889924856,-0.02340992643291041,-0.02313803985249352
19005730.0,19005778.0,-0.0005042635668362653,-0.023914317183376978,-0.02363063574882418
19005780.0,19005829.0,0.0016417079227382468,-0.022273955389991128,-0.022027722428014207
19005830.0,19005876.0,0.0016793877691587927,-0.020595976215641205,-0.020385327746483495
19005880.0,19005929.0,0.001454167307634804,-0.019142865185407084,-0.018960804116013197
19005930.0,19005978.0,-0.002747089370395374,-0.021893734730379012,-0.021655806462967275
19005979.0,19006028.0,0.0002973363589447731,-0.02159644256712906,-0.021364909162666312
19006029.0,19006075.0,0.0008421121508404158,-0.02075468479378951,-0.020540788661433385
19006079.0,19006126.0,0.001249721122712823,-0.019505743922522033,-0.01931673779618781
19006128.0,19006177.0,-0.0013875095163173009,-0.020894216921498943,-0.020677445154988705
19006179.0,19006227.0,0.0007945236750331085,-0.020100008713314767,-0.019899350199670485
19006228.0,19006276.0,-0.0008274768050525423,-0.020927828066278794,-0.020710360753997237
19006278.0,19006325.0,-0.002426255546273333,-0.02335703174011263,-0.02308636767262584
19006327.0,19006376.0,-0.003008074786881978,-0.026369639877343545,-0.026024996938991185
19006377.0,19006425.0,-0.002639329541629238,-0.029012458589921,-0.028595637937378515
19006427.0,19006475.0,0.0002529518805618119,-0.0287595386962921,-0.028349919377208765
19006476.0,19006525.0,-0.00017404132819320424,-0.028933595171434758,-0.02851902664777939
19006530.0,19006574.0,0.002914409212119692,-0.026023424616385873,-0.02568773354964271
19006576.0,19006623.0,-0.0004045223847466841,-0.026428028842384217,-0.02608186467115514
19006626.0,19006673.0,0.0015591787001443716,-0.024870064399350692,-0.024563352258866078
19006677.0,19006722.0,-0.00023263751620603994,-0.025102728979861252,-0.02479027541781298
19006724.0,19006773.0,-0.0015429484399980208,-0.02664686899064945,-0.02629497374102796
19006774.0,19006823.0,0.0005072431414369379,-0.02613975445352743,-0.025801068544675343
19006824.0,19006871.0,-0.0007853291660354628,-0.026925392152056027,-0.026566135379067823
19006874.0,19006922.0,-0.0028018682183141,-0.02973119295055851,-0.029293568786979862
19006924.0,19006970.0,0.0028972016821639216,-0.026838180068605704,-0.02648123648158207
19006973.0,19007022.0,0.000549357577660326,-0.02628897333257802,-0.025946426571848757
19007026.0,19007071.0,-0.0005341654555663461,-0.0268232815053367,-0.026466732342645072
19007073.0,19007121.0,0.0004319072845199762,-0.026391467465920023,-0.026046256232621245
19007123.0,19007168.0,-0.006623751948986918,-0.033037253814008724,-0.03249748424112353
19007173.0,19007198.0,0.0006019930208213263,-0.0324354419182988,-0.03191505447900955
