block,timestamp,v2_usdc,v2_eth,price_v2,v3_005_usdc,v3_005_eth,price_v3_005,v3_03_usdc,v3_03_eth,price_v3_03
19231948,1707983399,54460306.032708,19630.595690337137,2774.2564154339575,108175986.261769,7661.544572055625,2773.6671598164353,34099595.808249,7969.594365817818,2773.082770236082
19231949,1707983411,54460306.032708,19630.595690337137,2774.2564154339575,108176996.261769,7661.180616327549,2773.683367338799,34099595.808249,7969.594365817818,2773.082770236082
19231998,1707983999,54469758.886394,19627.207749997277,2775.2169121663046,108343974.783477,7601.117649131855,2776.361773157107,34099595.808249,7969.594365817818,2773.082770236082
19232000,1707984023,54469758.886394,19627.207749997277,2775.2169121663046,108343218.749166,7601.390097117395,2776.349629102551,34099595.808249,7969.594365817818,2773.082770236082
19232047,1707984587,54464740.504491,19629.03198251137,2774.7033349895587,107850680.561609,7723.618831681916,2771.3076039973785,34099595.808249,7969.594365817818,2773.082770236082
19232049,1707984611,54465337.426742,19628.817500129102,2774.764064436575,107850680.561609,7723.618831681916,2771.3076039973785,34099595.808249,7969.594365817818,2773.082770236082
19232095,1707985175,54490600.838182,19619.747833280973,2777.3344133276582,108142075.147198,7618.695092141812,2775.9817732705765,34099595.808249,7969.594365817818,2773.082770236082
19232098,1707985211,54489463.189917,19620.15869316825,2777.218270354269,108142075.147198,7618.695092141812,2775.9817732705765,34099595.808249,7969.594365817818,2773.082770236082
19232145,1707985787,54477633.922323,19624.443693821282,2776.0090819529923,108702547.346727,7417.312121180338,2783.2155408159565,34211084.615999,7929.538149747695,2776.8341822707416
19232149,1707985835,54479124.922323,19623.908217749526,2776.160809448113,108702547.346727,7417.312121180338,2783.2155408159565,34211084.615999,7929.538149747695,2776.8341822707416
19232196,1707986399,54487653.101816,19620.850015603366,2777.0281643499143,108508597.392057,7487.097045136306,2781.0325250046835,34211084.615999,7929.538149747695,2776.8341822707416
19232197,1707986411,54488153.101816,19620.67050880335,2777.0790543253047,108583597.392057,7460.1461930530695,2781.8714322336277,34211084.615999,7929.538149747695,2776.8341822707416
19232245,1707986999,54487079.512579,19621.066651533256,2776.9682698835945,108352593.076618,7543.285034716868,2779.228220507505,34211084.615999,7929.538149747695,2776.8341822707416
19232249,1707987047,54487170.81829,19621.0338705891,2776.977562836962,108352657.207834,7543.261971069843,2779.229202190639,34211084.615999,7929.538149747695,2776.8341822707416
19232293,1707987575,54478591.868359,19624.14230494529,2776.100530754426,108723241.484167,7409.946545914272,2783.4485936915344,34221254.751849,7925.8868691386915,2777.1763400871796
19232296,1707987611,54478591.868359,19624.14230494529,2776.100530754426,108722797.271407,7410.106687276365,2783.443553986542,34221254.751849,7925.8868691386915,2777.1763400871796
19232344,1707988187,54506529.143958,19614.1432455086,2778.940097546159,108736164.098555,7405.49300249186,2783.5919736853475,34324730.612705,7888.762539031141,2780.6588167945793
19232347,1707988223,54506629.143958,19614.107584819525,2778.950248347969,108737116.222978,7405.501467133386,2783.5919736853475,34324730.612705,7888.762539031141,2780.6588167945793
19232393,1707988787,54574764.070948,19589.69556759921,2785.89138267228,109438809.323865,7154.040392810479,2792.260299399397,34515237.323997,7820.535397166183,2787.076020748004
19232396,1707988823,54574764.070948,19589.69556759921,2785.89138267228,109437306.085724,7154.57902281048,2792.241626530634,34515237.323997,7820.535397166183,2787.076020748004
19232444,1707989399,54582433.106375,19586.953326761,2786.672954991977,109182163.343896,7315.135676758614,2787.780135921687,34516271.241497,7820.165543852139,2787.1108683591074
19232448,1707989447,54583433.106375,19586.595558983692,2786.7749115460483,109182163.343896,7315.135676758614,2787.780135921687,34516271.241497,7820.165543852139,2787.1108683591074
19232493,1707989999,54581423.432787,19587.321052417872,2786.5690916445888,109428929.034002,7226.584587837436,2790.8883999879636,34516266.245706,7820.167341708086,2787.1106994715715
19232497,1707990047,54581423.432787,19587.321052417872,2786.5690916445888,109429802.58993,7226.271742128897,2790.8992097325,34516266.245706,7820.167341708086,2787.1106994715715
19232543,1707990599,54587745.313526,19585.06569145669,2787.2127759744008,109372075.869621,7247.00518895073,2790.1766992896996,34516266.245706,7820.167341708086,2787.1106994715715
