bin,liquidity_usd,opt_capital_kept,uni_volume_ether,opt_user_kept_ether,uni_volume_usd,opt_user_kept,opt_price,uni_price,opt_fee,opt_lp_return_bin,uni_lp_return_bin,opt_log_cum_return,uni_log_cum_return,opt_total_income,opt_il_usd,opt_net_income,opt_lp_surplus_volume,opt_protocol_objective,opt_lp_return_year,check_opt_return,opt_solve_time_ms,opt_total_sweep_time_ms
19230957,298713658.2615612,79721342.50647776,504.2458382175498,504.2458382175499,1408177.7271099999,1406769.54938289,2789.848607091446,2792.6412483397858,0.0001,1.7646084538385479e-06,-0.00043973818697353107,4.7671110299106374e-05,-0.0011418672171096401,140.67695493828901,0.0,140.67695493828901,1406769.54938289,2813539.09876578,0.09274782033375407,0.09274782033485669,229.5283600105904,10819.737254991196
19231008,298542851.77390575,35635614.44994296,225.9659309098969,225.9659309098969,631509.004328,631509.004328,2794.7089270718952,2794.7089270718952,0.0001,1.7721288496079705e-06,-4.882361053371998e-05,4.9443237578552054e-05,-0.001190692019554619,63.15090043280001,7.450580596923828e-09,63.15090044025059,631509.0044025058,1263018.0087305058,0.09314309233539493,0.09314309232171754,337.2937669919338,11921.030076016905
19231058,298559927.1599357,91442317.37823574,560.7281581930067,560.7281581930065,1565832.701002,1564266.8683009972,2789.7062871641374,2792.4987859500875,0.0001,1.7106596958065607e-06,-1.3434532341183967e-06,5.115389581127255e-05,-0.001192035473691157,156.42668683009973,0.0,156.42668683009973,1564266.8683009972,3128533.7366019944,0.08991227361159282,0.08991227360772355,407.33347000787035,17918.509214010555
19231108,298517650.30809623,42399820.64923972,271.0816870166855,271.0816870166855,757605.984226,757605.9842259999,2794.751621046862,2794.7516210468625,0.0001,1.7868141247422583e-06,-0.0015594685747200455,5.2940708339582286e-05,-0.002752721285188525,75.7605984226,0.0,75.7605984226,757605.9842259999,1515211.9684519998,0.0939149503964531,0.09391495039458969,182.80834399047308,5481.323223997606
19231157,298014544.6836505,19565217.724608317,107.41375792739147,107.41375792739149,299765.167424,300664.462926272,2799.1243275327192,2790.7520713187632,0.0001,1.5367294509997135e-06,-0.006844203019192499,5.447743660983858e-05,-0.00962045328138485,30.0664462926272,0.0,30.0664462926272,300664.462926272,601328.925852544,0.08077049994454494,0.08077049994593707,374.7309909958858,13855.819548014551
19231209,295588417.4300479,148840388.76838663,395.6455242249694,395.6455242249694,1102266.0501969997,1105572.8483475908,2794.3519657231027,2785.9939837717875,0.00025,1.8569772250917778e-06,-0.00045765471369894797,5.633441211075943e-05,-0.010078212750964866,276.3932120868977,2.9802322387695312e-08,276.3932121167,1105572.8484668,2211145.696814391,0.09760272295082384,0.0976027229483887,153.86349498294294,5273.624884983292
19231255,295474108.78295785,235409681.04586732,343.24555447568616,343.2455544756862,955290.1546870001,954334.8645323132,2780.326946958066,2783.110057015081,0.0005,2.0269660541402603e-06,-0.0002263085429475087,5.8361376110580417e-05,-0.010304546905554806,477.1674322661566,2.9802322387695312e-08,477.1674322959589,954334.8645919178,1908669.729124231,0.10653733580561209,0.1065373358016905,54.60400099400431,10851.633893995313
19231304,295414999.6440944,66846630.67265243,399.11845210880574,399.11845210880574,1109166.634754,1108057.468119246,2776.262190496702,2779.0412317284304,0.0001,1.657611546077622e-06,-0.0006989800409234382,6.00189862827682e-05,-0.011003771346920993,110.8057468119246,7.450580596923828e-09,110.80574681937519,1108057.4681937518,2216114.9363129977,0.08712406286183981,0.08712406285926357,250.7040010241326,12415.926100016804
19231354,295242861.32599616,208478517.78863424,1623.1294496042742,1544.1294496042742,4489983.572744,4267178.288668931,2763.4848164851164,2766.251067552669,0.0001,2.046819180187767e-06,-0.002163809719849756,6.206580336818262e-05,-0.013169925485550555,426.71782886689317,0.0,426.71782886689317,4267178.288668931,8534356.577337863,0.10758081611066904,0.10758081611140684,128.81209899205714,11049.701925017871
19231403,294541424.1052943,164592626.1131317,1137.969249677028,1136.7120192225796,3153485.338881,3146851.361297696,2768.380476393565,2771.151628021587,0.0001,1.911903002953928e-06,0.00034894958436677115,6.397770454352519e-05,-0.012821036769930391,314.6851361297696,0.0,314.6851361297696,3146851.361297696,6293702.722595392,0.10048962183525846,0.1004896218288146,306.20412799180485,17892.817666986957
19231454,294656669.0138802,158357564.56725833,1063.8664925022347,1063.7222012069676,2953647.935166,2950294.087108316,2773.5569340949382,2776.333267362301,0.0001,1.8630585126580765e-06,1.415193910306195e-05,6.584076132060836e-05,-0.012806884930965101,295.0294087108316,0.0,295.0294087108316,2950294.087108316,5900588.174216632,0.0979223554253085,0.09792235541949414,166.84351101866923,10574.33623902034
19231503,294667478.3529834,156959667.71751752,1087.8681622030456,1087.8681622030456,3014733.439575,3014733.439575,2771.2305078125028,2771.2305078125028,0.0001,1.9207057987665074e-06,-0.00020237196501386064,6.776146527490773e-05,-0.013009277375948133,301.47334395750005,0.0,301.47334395750005,3014733.439575,6029466.87915,0.10095229678316762,0.10095229678681474,266.3824599876534,8827.565323008457
19231552,294618564.37082076,48972621.35678669,283.0556940399543,283.0286447399,785976.43451,786687.2265445027,2779.532182219432,2776.7554267926394,0.0001,1.6063816982302262e-06,0.00037723533238712305,6.936784568300498e-05,-0.012632113178919645,78.66872265445026,7.450580596923828e-09,78.66872266190084,786687.2266190083,1573374.4531635111,0.08443142205898069,0.08443142205624239,115.80867800512351,4032.2705899889115
19231608,294716716.38068324,109449409.86001025,729.5318702878412,729.5318702878411,2031814.9753260002,2027751.3453753479,2779.524004311541,2785.094192696935,0.0001,1.8526836718159697e-06,-0.0001723410844277421,7.122052763859894e-05,-0.01280446911577858,202.7751345375348,0.0,202.7751345375348,2027751.3453753479,4055502.6907506958,0.09737705379064736,0.09737705379593466,73.65416100947186,4544.868105003843
19231650,294632852.91712546,294632852.91712546,1517.007372703852,1515.6419171158984,4215943.954771,4220573.489637442,2784.6771997892047,2779.1189618654744,0.00025,3.581214253476859e-06,-4.401123270165536e-06,7.480173547943403e-05,-0.01280887024873371,1055.1433724093606,0.0,1055.1433724093606,4220573.489637442,8441146.979274884,0.1882286211627437,0.18822862116401665,6.6641419834923,4935.000861994922
19231702,294642448.3246446,29254112.311248984,163.09558401142928,162.81929288502243,453896.772793,453127.85160247516,2783.010806480157,2783.010806480157,0.0001,1.5489372804024148e-06,0.00017636767509905774,7.635067156026973e-05,-0.012632518124584704,45.312785160247515,3.725290298461914e-09,45.312785163972805,453127.851639728,906255.7032422032,0.08141214345795092,0.08141214345714055,172.23634701804258,7152.565530006541
19231750,294682535.6645076,135316332.78289032,847.8892395897792,847.8892395897791,2356458.538346,2354102.0798076536,2776.4264126604576,2779.2056182787364,0.0001,1.7397028366004544e-06,0.00026036787980146856,7.809037288366685e-05,-0.012372184134617261,235.41020798076536,0.0,235.41020798076536,2354102.0798076536,4708204.159615307,0.09143878109171988,0.09143878109407619,149.35707100084983,4749.269777996233
19231801,294760358.4457743,71366683.29433154,191.15602396841004,191.15602396841004,532769.0668500001,532236.29778315,2784.3030354675407,2787.090125593134,0.00025,1.8644424585618536e-06,-0.0009709789422076472,7.995481360423954e-05,-0.013343634782246764,133.0590744457875,1.4901161193847656e-08,133.05907446068866,532236.2978427546,1064472.5956259046,0.09799509562201102,0.0979950956225792,95.3736130031757,4061.409331014147
19231851,294401482.00086784,226091478.61547613,318.54256714119754,318.5425671411976,886056.195331,886056.1953310001,2781.59431966355,2781.59431966355,0.0005,1.9595081619541266e-06,0.0009836834518879357,8.191431984635871e-05,-0.012360434829877922,443.02809766550007,2.9802322387695312e-08,443.0280976953024,886056.1953906048,1772112.390721605,0.1029917489923089,0.10299174898395083,67.06684597884305,6998.662577010691
19231899,294801318.4534522,135150169.07222885,897.4770079663772,897.477007966377,2487303.454889,2484816.15143411,2768.668310583842,2771.439750334176,0.0001,1.8385594102410186e-06,-0.0008457454807518527,8.375287756648254e-05,-0.013206538155116718,248.481615143411,0.0,248.481615143411,2484816.15143411,4969632.30286822,0.09663468260226794,0.0966346825955485,348.42964200652204,15839.192578016082
19231949,294560981.9078554,44924698.89571782,267.25273331107104,267.25273331107104,741794.725353,739569.3411769411,2767.303189060795,2775.630079298691,0.0001,1.6462421771455347e-06,0.00013195891004934987,8.53991183886719e-05,-0.01307458795087858,73.9569341176941,0.0,73.9569341176941,739569.3411769411,1479138.6823538821,0.0865264888307693,0.08652648882970072,312.98555800458416,15068.582031002734
19232000,294595191.75081956,30288447.330251962,200.62267863785138,200.6226786378514,556309.7611059999,556866.0708671061,2775.6885445255057,2772.915628896609,0.0001,1.838542810713545e-06,-0.0005856047476925715,8.723765950921568e-05,-0.013660364232001839,55.68660708671061,0.0,55.68660708671061,556866.0708671061,1113732.1417342122,0.09663381013110392,0.0966338101348922,267.6149040053133,9639.605882024625
19232049,294425915.2593061,39756274.38379207,279.68274744644077,279.6827474464407,776092.2512999999,775316.1590486998,2772.1272267506342,2774.902128879514,0.0001,1.9501730759881828e-06,0.00029798773470978036,8.918783068354591e-05,-0.013362420886818927,77.53161590486998,0.0,77.53161590486998,775316.1590486998,1550632.3180973995,0.1025010968739389,0.10250109688457387,209.65095100109465,9273.262167989742
19232098,294512679.62149733,85829391.99276622,516.902531299827,516.8493153292827,1436971.346302,1432512.9375019993,2771.6258782104624,2779.9657755370736,0.0001,1.6690237507714526e-06,0.00017947265273911094,9.085685304148838e-05,-0.013182964337369664,143.25129375019995,0.0,143.25129375019995,1432512.9375019993,2865025.8750039986,0.08772388834054755,0.0877238883395783,239.61903899908066,10947.197233006591
19232149,294477206.07799053,24818735.55728343,148.76515444311534,148.76515444311534,413897.3832690001,413483.48588573106,2779.4377482654277,2782.2199682336613,0.0001,1.6660135039167543e-06,2.051313024202035e-05,9.252286515750988e-05,-0.01316245141751906,41.34834858857311,0.0,41.34834858857311,413483.48588573106,826966.9717714621,0.0875656697658646,0.08756566976412442,157.74268499808386,4961.043724993942
19232197,294509358.2527581,26663569.90523338,166.38108550693707,166.38108550693707,462589.0596020001,461201.2924231941,2771.9574675089184,2780.2983625967086,0.0001,1.729705714810049e-06,-6.40330574701372e-05,9.425256937645196e-05,-0.013226486525192965,46.120129242319415,0.0,46.120129242319415,461201.2924231941,922402.5848463882,0.09091333237041618,0.09091333237084982,231.25476299901493,10489.46232299204
19232249,294505702.2301843,44154675.45838051,287.8576868646458,287.8576868646458,800861.159665,800861.1596649999,2782.142691369484,2782.1426913694845,0.0001,1.8137629851223319e-06,3.3218314305766925e-05,9.606633071672255e-05,-0.013193268762603256,80.0861159665,0.0,80.0861159665,800861.159665,1601722.3193299999,0.09533138249802976,0.09533138250363353,282.2522150236182,7132.434265018674
19232296,294475495.6115843,162122576.47742608,434.6633169163797,434.5806440722385,1210493.557753,1209053.058886775,2782.1143794103245,2784.8992786890135,0.00025,1.864411923923383e-06,0.0003259777939104592,9.793074090266628e-05,-0.012867344087910427,302.26326472169376,0.0,302.26326472169376,1209053.058886775,2418106.11777355,0.09799349072141302,0.0979934907194606,236.00280500249937,9537.979222019203
19232347,294577103.8818293,92859558.06674325,561.4917430705575,561.0965206125105,1566236.102027,1562003.393414513,2783.840811754422,2789.419651056535,0.0001,1.6821137489065106e-06,0.0008998610327743758,9.961285323687207e-05,-0.011967887687351535,156.2003393414513,0.0,156.2003393414513,1562003.393414513,3124006.786829026,0.0884118986425262,0.08841189864573709,337.88215299136937,17678.56280700653
19232396,294821113.7687614,58805485.22365603,361.8939357240473,361.5720851894594,1010252.7982309998,1008344.9751208306,2788.7799319255246,2791.5715034289537,0.0001,1.7147124478027395e-06,0.0005107798830849345,0.00010132756421456332,-0.011457238207907859,100.83449751208306,0.0,100.83449751208306,1008344.9751208306,2016689.9502416612,0.09012528625651199,0.09012528625588974,273.94067897694185,12383.54411898763
19232448,295043978.51843333,98398243.46012509,242.11420696031612,242.11420696031612,675621.870423,675621.8704229998,2790.5089870820266,2790.508987082027,0.00025,1.716549621886261e-06,4.747646629230637e-05,0.00010304411236307118,-0.011409762868587286,168.90546760574998,0.0,168.90546760574998,675621.8704229998,1351243.7408459997,0.09022184812634187,0.09022184812307305,162.02082199743018,6196.630729013123
19232544,295059247.42104596,24441344.87658972,150.31500633711968,150.3150063371197,419398.174402,419398.17440200003,2790.1284417431534,2790.1284417431534,0.0001,1.715937386248163e-06,4.653612011633887e-05,0.00010476004827703423,-0.01136322783124264,41.9398174402,3.725290298461914e-09,41.93981744392529,419398.1744392529,838796.348841253,0.09018966902120344,0.09018966901225636,131.72020800993778,4569.567647995427
19232594,295090233.7691236,62146251.47627579,359.6771430031908,359.67714300319074,1005663.150526,1005663.1505259997,2796.016288744482,2796.016288744482,0.0001,1.6182201285461437e-06,0.0005445299760550117,0.00010637826709628051,-0.01081884605783705,100.56631505259998,0.0,100.56631505259998,1005663.1505259997,2011326.3010519994,0.08505364995638531,0.08505364995832504,334.7534789936617,8566.93659099983
19232643,295207561.0004715,26444621.0328846,152.65035667461015,152.6503566746101,427272.943737,426845.6707932628,2796.231074016605,2799.030104120726,0.0001,1.614111505937138e-06,-0.001027729145772961,0.00010799237729961369,-0.011847103679326192,42.68456707932628,0.0,42.68456707932628,426845.6707932628,853691.3415865256,0.08483770075205598,0.08483770075130416,226.42637399258092,6937.936839996837
19232693,294975185.7826404,90983436.52721684,520.033024408237,518.9102107365023,1456570.650892,1454879.1658978248,2803.720442950772,2800.9195234273448,0.0001,1.5990593688584311e-06,0.0009039710508883277,0.00010959143539003708,-0.010943540964204426,145.4879165897825,0.0,145.4879165897825,1454879.1658978248,2909758.3317956496,0.08404656042719914,0.08404656042662191,257.4991389992647,8044.318126019789
19232743,295267977.9555004,212996136.78912118,310.0922549833293,310.0922549833293,867499.102018,865764.1038139641,2791.956554543769,2797.551657859488,0.0005,2.032346963951573e-06,0.0014501598726076143,0.00011162378028887653,-0.009494431557984769,432.88205190698204,2.9802322387695312e-08,432.88205193678436,865764.1038735687,1731528.2076875328,0.10682015642529469,0.10682015642725605,103.41811200487427,12732.591919979313
