bin,liquidity_usd,opt_capital_kept,user_demand_usd,OK_user_demand_usd_inflation,opt_user_kept,uni_user_kept,opt_price,uni_price,check_price,opt_fee,uni_fee,opt_lp_surplus,opt_protocol_objective,opt_total_income,uni_total_income,opt_il_usd,uni_il_usd,opt_net_income,uni_net_income,opt_lp_return_bin,uni_lp_return_bin,uni_lp_return_bin_check,opt_log_cum_return_bin,uni_log_cum_return_bin,opt_lp_return_year,uni_lp_return_year,opt_solve_time_ms,opt_total_sweep_time_ms,check_opt_return
27,100000000,100000000.0,190258,190166.17247632638,189808.3235869394,182538.07609219174,1953.6092100450355,1956.6108892234286,1953.6092100450355,0.003,0.003,189899.97831238646,379799.9566247729,569.6999349371594,549.3407923021675,0.0,-12.123089998960495,569.6999349371594,537.217702303207,5.696999349371593e-06,5.434859604578185e-06,5.43485960453923e-06,0.00015948066992383435,9.734604589343911e-05,0.29943428580297093,0.2856562208166294,954.207477014279,978.7207159970421,0.2994342858068347
28,100000000,100000000.0,190258,191064.82944531992,190847.7443395963,150030.82095364435,1945.3595000388118,1953.4788536758874,1945.3595000388118,0.003,0.003,190041.83160226475,380083.66320452944,570.1254948067942,452.7865999375507,0.0,-197.28300295770168,570.1254948067942,255.50359697984902,5.701254948067943e-06,2.590299055829614e-06,2.5902990557946423e-06,0.0001651819086198849,9.993634159453598e-05,0.29965796007045103,0.13614611837440452,938.8438799942378,962.953418988036,0.29965796007106305
29,100000000,100000000.0,190258,189604.4679917842,189211.52976305998,188687.86151097846,1952.0647993085377,1953.302088900057,1952.0647993085377,0.003,0.003,189863.70738489216,379727.4147697843,569.5911221546764,567.3105656881052,0.0,-1.7208733409643173,569.5911221546764,565.5896923471408,5.695911221546765e-06,5.724096979399919e-06,5.724096979471385e-06,0.0001708778036198146,0.0001056604221912536,0.29937709380449795,0.30085853723725975,937.4711069976911,961.3321009965148,0.29937709380226135
30,100000000,100000000.0,190258,189968.985217115,189688.02103027605,188412.65515732832,1955.0346292705435,1953.3062201537075,1955.0346292705435,0.003,0.003,189976.60835524235,379953.2167154518,569.9298250806282,565.6027330242736,-1.4901161193847656e-08,0.19600312411785126,569.9298250657271,565.7987361483914,5.6992982506572705e-06,5.7218286917517434e-06,5.72182869181891e-06,0.00017657708562954808,0.00011138223451339468,0.29955511605454616,0.3007393160384716,954.9570459930692,979.0987849992234,0.29955511605548857
31,100000000,100000000.0,190258,190663.59328400038,190264.20122486586,186407.37001525593,1950.875739248791,1952.995186615884,1950.875739248791,0.003,0.003,189859.45755632734,379718.9151126547,569.5783726689821,560.7155790005413,0.0,-4.918776705861092,569.5783726689821,555.7968022946802,5.6957837266898205e-06,5.626635973343039e-06,5.626635973368898e-06,0.00018227285313530045,0.00011700885465730375,0.29937039267481697,0.2957359867589101,945.7708990084939,969.5767459925264,0.2993703926765084
32,100000000,100000000.0,190258,189617.18115334213,189201.25770739696,180961.0945321593,1957.4688018267398,1953.7877791401345,1957.4688018267398,0.003,0.003,189840.67092413612,379681.34184827225,569.5220127724084,542.6175404287094,0.0,-20.365330755710602,569.5220127724084,522.2522096729988,5.695220127724084e-06,5.278101973268605e-06,5.278101973322103e-06,0.00018796805704531747,0.00012228694270143315,0.2993407699131779,0.27741703971499787,940.3139099886175,964.1775969939772,0.2993407699120045
33,100000000,100000000.0,190258,191501.99880498849,190903.36602671025,159312.5881452562,1944.753065878968,1951.6616137022186,1944.753065878968,0.003,0.003,189663.2559459411,379326.5118918822,568.9897678378234,480.4925037253562,0.0,-110.79468958079815,568.9897678378234,369.69781414455804,5.689897678378234e-06,3.748489504044155e-06,3.7484895041160086e-06,0.00019365793853626256,0.00012603542517999346,0.29906102197555995,0.19702060833256077,950.3143750189338,974.4019260106143,0.29906102196600437
34,100000000,100000000.0,190258,191116.16558678,190854.20153018186,133450.28794360935,1936.0205750883636,1946.8684775674042,1936.0205750883636,0.003,0.003,189997.2122360386,379994.4244720772,569.9916367081158,403.3764105432864,0.0,-413.73047667741776,569.9916367081158,-10.354066134131358,5.6999163670811585e-06,-1.0521875022005552e-07,-1.0521875021363092e-07,0.00019935783865891998,0.00012593020642418982,0.2995876042537857,-0.0055302975115661184,1048.843302007299,1073.9969960122835,0.2995876042617559
35,100000000,100000000.0,190258,191490.48104347018,191041.5683381387,105944.49535797683,1923.559858265458,1940.4355683806716,1923.559858265458,0.003,0.003,189811.9766100876,379623.95322017523,569.4359298302628,321.2374959250537,0.0,-844.8855538219213,569.4359298302628,-523.6480578968676,5.694359298302628e-06,-5.338480960108219e-06,-5.338480960067959e-06,0.00020505218174443146,0.00012059171121437868,0.2992955247187861,-0.28059055926328796,997.0707119791768,1023.4608610044234,0.2992955247211933
36,100000000,100000000.0,190258,189652.34624286921,189209.24766949503,153405.58642054047,1929.7027364228024,1937.3444936163055,1929.7027364228024,0.003,0.003,189813.4863936929,379626.9727873858,569.4404591810787,462.8643874198579,0.0,-187.03573243319988,569.4404591810787,275.828654986658,5.694404591810787e-06,2.8075662911789436e-06,2.807566291208891e-06,0.00021074657012323174,0.0001233992735644015,0.299297905345575,0.14756568426436528,946.075801999541,970.1246779877692,0.29929790535120965
