bin_start_ts,start_block,end_block,num_swaps,total_eth,total_usdc,vwap
1708200000,19249810,19249858,42,52.43275801863874,145447.85115600002,2773.9881831944904
1708200600,19249863,19249908,56,89.6349555608998,248800.534263,2775.7087924694724
1708201200,19249909,19249958,73,239.21683491078363,664160.5165319999,2776.3953852984464
1708201800,19249959,19250007,48,122.77199953674031,341538.13757900003,2781.889509560301
1708202400,19250011,19250057,46,248.9189613179002,691233.0407109999,2776.940081427586
1708203000,19250059,19250107,73,432.67267522993,1202303.5907440002,2778.7832686801275
1708203600,19250110,19250156,71,157.3203317711838,437123.799907,2778.5588485967555
1708204200,19250157,19250205,59,253.25023052138096,703854.1634170001,2779.2834066446244
1708204800,19250207,19250255,84,1211.114592425367,3377023.9198929993,2788.360359138438
1708205400,19250256,19250304,74,756.2673318816371,2115919.7261469997,2797.8462601081396
1708206000,19250306,19250355,56,311.18654084022836,869444.417033,2793.965364586242
1708206600,19250356,19250403,69,414.9802537388406,1156957.3431739998,2787.9816756343967
1708207200,19250406,19250453,67,357.00444438444487,994263.6639680001,2785.0176086248225
1708207800,19250455,19250504,60,257.21185259105084,716152.183077,2784.2891992058885
1708208400,19250505,19250552,73,203.35264948458962,566681.930948,2786.695587120659
1708209000,19250555,19250603,67,276.5911932066275,771208.5519460001,2788.2614157200164
1708209600,19250605,19250653,70,373.47097082997533,1039518.706508,2783.398945834659
1708210200,19250655,19250704,66,414.14971707887173,1152896.7236419998,2783.767985581985
1708210800,19250705,19250752,54,111.39318567829021,310049.98105500004,2783.383733637368
1708211400,19250753,19250802,55,174.08508344646816,484319.059743,2782.0824745845034
1708212000,19250803,19250852,65,277.65831984084133,773070.566506,2784.251402764152
1708212600,19250853,19250896,49,60.34236307151292,168155.63918299996,2786.6929736198003
1708213200,19250898,19250947,64,96.40981620706685,268893.48170600005,2789.0674651684494
1708213800,19250948,19250997,59,103.69866119542283,289114.36125,2788.0240488848403
1708214400,19250998,19251046,57,96.21491959311264,268147.68831,2786.9657787376555
1708215000,19251047,19251096,81,440.8084286702577,1228409.997154,2786.72075499922
1708215600,19251098,19251144,70,322.04086581256627,898201.3284270001,2789.091148915771
1708216200,19251146,19251193,63,352.693327891477,981691.0237580001,2783.412517687503
1708216800,19251198,19251243,67,159.57156121517832,444136.62716299994,2783.3068986778453
1708217400,19251244,19251291,53,309.94401997631104,863535.684391,2786.1020982337386
1708218000,19251295,19251342,45,240.35331792478206,671527.3586970001,2793.9175730752872
1708218600,19251344,19251392,42,158.63401941585943,443561.03393000003,2796.1280661193096
1708219200,19251393,19251441,51,199.7078006047907,557653.6951830001,2792.348088027678
1708219800,19251445,19251492,65,203.92078153295083,568953.511867,2790.0712599763397
1708220400,19251493,19251542,68,376.940483577355,1049348.6618509998,2783.8576846194724
1708221000,19251544,19251590,54,336.8800170973677,936640.7431840001,2780.3392770349
1708221600,19251593,19251641,80,1220.1391172695417,3385788.069016,2774.919696528378
1708222200,19251642,19251691,93,773.4833362085443,2148376.9953380004,2777.5349445392076
1708222800,19251693,19251735,66,231.88110923396965,644671.73352,2780.1822047932405
1708223400,19251742,19251790,66,550.1420460182089,1527440.2212210002,2776.446978150883
1708224000,19251791,19251839,71,674.2919934218586,1868515.7162069997,2771.078011359386
1708224600,19251840,19251888,55,328.2558208912022,909121.571959,2769.552020405211
1708225200,19251889,19251938,54,191.2902155978466,530473.161857,2773.1327511921713
1708225800,19251941,19251985,50,159.3528207400538,441592.76836800005,2771.163800660633
1708226400,19251993,19252035,48,432.47595390954933,1199798.899001,2774.2557433654065
1708227000,19252042,19252085,58,485.42197127103026,1348983.415326,2778.991259488766
1708227600,19252087,19252133,45,236.00209703225525,656527.8100479998,2781.8727812332527
1708228200,19252134,19252183,44,48.667448829169764,135376.862842,2781.671653206923
1708228800,19252184,19252232,64,471.5976024084259,1314206.2439630001,2786.7110376545875
1708229400,19252237,19252282,34,123.34062762600742,344209.10275200004,2790.7195656220306
1708230000,19252283,19252331,62,261.04332854048056,729326.979756,2793.892430937577
1708230600,19252332,19252381,56,141.0214729532136,394495.65890599997,2797.415532859177
