bin_id,start_block,end_block,rejection_rate,tolerance,swap_count,router_txs,failed_txs
229.0,19241304,19241350,0.047619047619047616,0.004362044754661809,51,105,5
230.0,19241353,19241401,0.1,0.0017976094880040238,46,90,9
231.0,19241402,19241450,0.11578947368421053,0.0011136836982817348,49,95,11
232.0,19241451,19241498,0.06451612903225806,0.0024423110139685576,34,93,6
233.0,19241501,19241547,0.11827956989247312,0.0012625811598574396,45,93,11
234.0,19241548,19241596,0.05714285714285714,0.005097876035684299,38,70,4
235.0,19241598,19241647,0.12857142857142856,0.0012680487469495802,47,70,9
236.0,19241648,19241697,0.075,0.0011440112007226563,54,80,6
237.0,19241699,19241747,0.0784313725490196,0.0012000810106874336,43,102,8
238.0,19241748,19241797,0.04938271604938271,0.0010153321283005658,38,81,4
239.0,19241798,19241847,0.046511627906976744,0.004501159893190107,24,86,4
240.0,19241848,19241895,0.08181818181818182,0.002841349295523963,34,110,9
241.0,19241896,19241945,0.22608695652173913,0.0009482870258983937,28,115,26
242.0,19241947,19241994,0.0546875,0.0010851455286370018,38,128,7
243.0,19241995,19242044,0.0392156862745098,0.0060393456819875825,24,153,6
244.0,19242045,19242094,0.09090909090909091,0.0015793333947992897,28,154,14
245.0,19242096,19242144,0.027210884353741496,0.0028806911465940003,17,147,4
246.0,19242145,19242193,0.056910569105691054,0.004381207663490088,32,123,7
247.0,19242195,19242243,0.05102040816326531,0.006101331470843919,30,98,5
248.0,19242249,19242293,0.08974358974358974,0.0030741398241872315,18,156,14
249.0,19242294,19242342,0.0,0.0060503190147926465,18,116,0
250.0,19242343,19242392,0.040983606557377046,0.005135805794245614,42,122,5
251.0,19242393,19242441,0.030303030303030304,0.0034920508795508276,34,132,4
252.0,19242443,19242491,0.07258064516129033,0.005564855463154162,28,124,9
253.0,19242492,19242541,0.14423076923076922,0.003617323538691771,26,104,15
254.0,19242543,19242591,0.04040404040404041,0.002700907137614853,23,99,4
255.0,19242592,19242639,0.06097560975609756,0.002763794060639228,31,82,5
256.0,19242641,19242690,0.12173913043478261,0.001505811111506354,41,115,14
257.0,19242691,19242740,0.022988505747126436,0.005823075309935405,29,87,2
258.0,19242741,19242786,0.04838709677419355,0.003910310526152749,27,62,3
259.0,19242788,19242837,0.06172839506172839,0.00516041983120411,35,81,5
260.0,19242839,19242887,0.061224489795918366,0.004405349143326514,22,49,3
261.0,19242889,19242937,0.09803921568627451,0.00530090407689392,38,51,5
262.0,19242938,19242987,0.06329113924050633,0.005862368198691603,42,79,5
263.0,19242989,19243036,0.16233766233766234,0.0026706065666448,21,154,25
264.0,19243037,19243085,0.05952380952380952,0.004713640908369764,28,84,5
265.0,19243086,19243134,0.1411764705882353,0.0007630000381216921,26,85,12
266.0,19243136,19243184,0.06363636363636363,0.005230826017130346,16,110,7
267.0,19243187,19243234,0.10227272727272728,0.001016511524820691,24,88,9
268.0,19243237,19243285,0.03333333333333333,0.004585994322715057,20,60,2
269.0,19243291,19243333,0.02531645569620253,0.006020276357403727,14,79,2
270.0,19243339,19243385,0.11392405063291139,0.00230063616388837,24,79,9
271.0,19243386,19243433,0.019867549668874173,0.004174544898688374,30,151,3
272.0,19243435,19243481,0.075,0.004633722049697511,16,80,6
273.0,19243488,19243534,0.05263157894736842,0.0028508089003028633,24,57,3
274.0,19243535,19243584,0.010638297872340425,0.0054226436049429755,25,94,1
275.0,19243586,19243634,0.02631578947368421,0.006033663682956135,22,38,1
276.0,19243635,19243684,0.1346153846153846,0.0036755872205948416,16,52,7
277.0,19243685,19243733,0.10416666666666667,0.0006115002411556253,25,48,5
278.0,19243735,19243784,0.014388489208633094,0.006092507342079725,24,139,2
279.0,19243786,19243834,0.017857142857142856,0.005271365340864491,29,56,1
280.0,19243835,19243884,0.09722222222222222,0.004337838230667858,26,72,7
281.0,19243885,19243934,0.028985507246376812,0.004460017889325719,16,69,2
282.0,19243936,19243984,0.07142857142857142,0.0035270457807850034,19,70,5
283.0,19243986,19244032,0.08620689655172414,0.0037501827367135846,24,58,5
284.0,19244033,19244081,0.04597701149425287,0.0029649396020663575,22,87,4
285.0,19244082,19244131,0.08490566037735849,0.001020570947346165,13,106,9
286.0,19244132,19244180,0.05172413793103448,0.002413298056325844,19,58,3
287.0,19244181,19244226,0.04054054054054054,0.0036862053549249745,13,74,3
288.0,19244233,19244277,0.036585365853658534,0.002331662338358754,21,82,3
289.0,19244279,19244327,0.027777777777777776,0.0035420998460709927,18,72,2
290.0,19244329,19244376,0.0425531914893617,0.0017794812772018304,35,94,4
291.0,19244381,19244424,0.011494252873563218,0.004845867708210045,21,87,1
292.0,19244427,19244476,0.018518518518518517,0.004670075782261112,20,108,2
293.0,19244477,19244525,0.043478260869565216,0.0010176917205412263,19,92,4
294.0,19244528,19244574,0.0136986301369863,0.005861514107335708,20,73,1
295.0,19244575,19244624,0.14423076923076922,0.003667108877288412,27,104,15
296.0,19244627,19244674,0.08737864077669903,0.0027814199416560277,16,103,9
297.0,19244676,19244724,0.07476635514018691,0.00048240806837154435,13,107,8
298.0,19244726,19244774,0.029197080291970802,0.0027982944135036634,18,137,4
299.0,19244775,19244823,0.050955414012738856,0.0060258299425521595,17,157,8
300.0,19244824,19244873,0.0898876404494382,0.0027390542038370075,26,89,8
301.0,19244874,19244923,0.13846153846153847,0.0041522131053681076,15,65,9
302.0,19244925,19244968,0.05357142857142857,0.005994051452821848,32,56,3
303.0,19244972,19245021,0.10144927536231885,0.004932847178448836,15,69,7
304.0,19245023,19245070,0.024390243902439025,0.002390287395925862,12,41,1
305.0,19245071,19245117,0.06060606060606061,0.003629114943567628,23,66,4
306.0,19245118,19245166,0.24675324675324675,0.0014225734230303609,24,77,19
307.0,19245167,19245216,0.0273972602739726,0.003025926602168834,25,73,2
308.0,19245218,19245265,0.043478260869565216,0.004300706752083575,24,69,3
309.0,19245266,19245314,0.04950495049504951,0.0029760736124789956,27,101,5
310.0,19245317,19245364,0.2608695652173913,0.0004811678088838688,18,115,30
311.0,19245365,19245413,0.10619469026548672,0.0025090208198920183,23,113,12
312.0,19245417,19245461,0.10236220472440945,0.0014765841775013142,16,127,13
313.0,19245467,19245512,0.0546875,0.004584788977263655,21,128,7
314.0,19245516,19245563,0.09401709401709402,0.0017085179926636905,12,117,11
315.0,19245565,19245611,0.14838709677419354,0.0009380103637127017,21,155,23
316.0,19245613,19245660,0.14814814814814814,0.00100186482039304,18,135,20
317.0,19245661,19245708,0.07291666666666667,0.0022047743948734352,26,96,7
318.0,19245709,19245757,0.13095238095238096,0.0023884780840295414,16,84,11
319.0,19245760,19245808,0.012345679012345678,0.0057709016640507295,8,81,1
320.0,19245811,19245858,0.015873015873015872,0.005324346056630988,15,63,1
321.0,19245859,19245906,0.0375,0.004473741693452525,16,80,3
322.0,19245911,19245958,0.05263157894736842,0.004368584345397092,14,76,4
323.0,19245963,19246006,0.034482758620689655,0.004084642019650702,11,58,2
324.0,19246009,19246057,0.09090909090909091,0.0003639246698711316,11,77,7
325.0,19246058,19246104,0.05,0.004352571616250034,11,80,4
326.0,19246108,19246157,0.06666666666666667,0.0010116263452572608,12,90,6
327.0,19246158,19246206,0.09722222222222222,0.0057852274274509015,17,72,7
328.0,19246209,19246256,0.04081632653061224,0.0010006238100347265,22,98,4
329.0,19246257,19246305,0.0851063829787234,0.0010443911786570477,15,94,8
330.0,19246308,19246355,0.03571428571428571,0.004094863578228252,16,84,3
331.0,19246357,19246404,0.025,0.006061936344327634,25,80,2
332.0,19246405,19246453,0.013333333333333334,0.0010052987110251983,20,75,1
333.0,19246456,19246502,0.013157894736842105,0.004582653173564452,23,76,1
334.0,19246507,19246552,0.013888888888888888,0.0019233596812763133,21,72,1
335.0,19246555,19246602,0.06578947368421052,0.0009923041133567947,18,76,5
336.0,19246603,19246648,0.0847457627118644,0.0009913394193095941,13,59,5
337.0,19246653,19246700,0.0,0.002938751549878556,20,66,0
338.0,19246702,19246751,0.016666666666666666,0.002542190547351455,15,60,1
339.0,19246752,19246801,0.05333333333333334,0.003878353664317017,20,75,4
340.0,19246805,19246847,0.11650485436893204,0.002524332244800188,13,103,12
341.0,19246849,19246893,0.06666666666666667,0.0029660208447701082,15,75,5
342.0,19246900,19246943,0.06944444444444445,0.0013075983268045655,26,72,5
343.0,19246945,19246992,0.09433962264150944,0.0021748687251498524,19,53,5
344.0,19246993,19247042,0.07272727272727272,0.0031014151670647186,22,55,4
345.0,19247043,19247090,0.028985507246376812,0.0032989279604568066,11,69,2
346.0,19247093,19247141,0.05128205128205128,0.003697083956018659,14,78,4
347.0,19247143,19247190,0.0136986301369863,0.005926590974627935,14,73,1
348.0,19247191,19247240,0.06315789473684211,0.0056576390092834645,22,95,6
349.0,19247242,19247290,0.0,0.0059094307703263,18,85,0
350.0,19247291,19247337,0.06349206349206349,0.005126911907156327,11,63,4
351.0,19247340,19247387,0.03076923076923077,0.005422403578094337,22,65,2
352.0,19247390,19247438,0.1044776119402985,0.005502030006514613,14,67,7
353.0,19247440,19247488,0.11235955056179775,0.0013592054759714043,21,89,10
354.0,19247489,19247538,0.07692307692307693,0.0012342367742469772,13,104,8
355.0,19247539,19247587,0.09722222222222222,0.004061769560977779,19,72,7
356.0,19247590,19247637,0.0891089108910891,0.0030407670023476162,15,101,9
357.0,19247638,19247683,0.027777777777777776,0.001155053831825031,14,72,2
358.0,19247688,19247736,0.07317073170731707,0.004217128843135489,25,82,6
359.0,19247737,19247786,0.0410958904109589,0.003986350912145627,22,73,3
360.0,19247788,19247835,0.03597122302158273,0.0020546387090889322,23,139,5
361.0,19247837,19247885,0.08139534883720931,0.0012245110480850496,33,86,7
362.0,19247886,19247934,0.05714285714285714,0.0010391803084795095,41,105,6
363.0,19247937,19247983,0.042105263157894736,0.00200169280632199,36,95,4
364.0,19247985,19248033,0.03571428571428571,0.0010965941966373754,34,84,3
365.0,19248034,19248083,0.05263157894736842,0.0024545937027408214,23,57,3
366.0,19248087,19248131,0.015625,0.005045659404412395,19,64,1
367.0,19248133,19248179,0.05154639175257732,0.004400128843824719,16,97,5
368.0,19248184,19248228,0.041666666666666664,0.001299855445622939,52,96,4
369.0,19248230,19248278,0.1328125,0.0009786534589948128,38,128,17
370.0,19248279,19248327,0.07368421052631578,0.004842331491543833,31,95,7
371.0,19248329,19248376,0.06666666666666667,0.00148239854719246,34,75,5
372.0,19248379,19248427,0.11290322580645161,0.0031333248567974713,31,62,7
373.0,19248428,19248477,0.04,0.00326531438605941,33,75,3
374.0,19248478,19248525,0.03225806451612903,0.004909423537973667,27,62,2
375.0,19248526,19248573,0.14754098360655737,0.0043672602031526305,29,61,9
376.0,19248575,19248624,0.18518518518518517,0.003909123163339259,29,108,20
377.0,19248625,19248674,0.1044776119402985,0.0010039669304427474,24,67,7
378.0,19248681,19248722,0.08333333333333333,0.0012203908004758993,24,72,6
379.0,19248726,19248774,0.07692307692307693,0.002255878782928437,24,78,6
380.0,19248775,19248823,0.18292682926829268,0.0002509468391096671,24,82,15
381.0,19248826,19248873,0.0,0.004788923904000469,25,62,0
382.0,19248874,19248920,0.0821917808219178,0.003858885578015789,29,73,6
383.0,19248922,19248970,0.08602150537634409,0.004152702146065456,24,93,8
384.0,19248971,19249019,0.09574468085106383,0.005853936823868554,24,94,9
385.0,19249020,19249068,0.08771929824561403,0.005197072221687933,32,114,10
386.0,19249070,19249118,0.16326530612244897,0.0005162441963759059,23,98,16
387.0,19249119,19249167,0.16666666666666666,0.0021472168426076637,29,102,17
388.0,19249169,19249218,0.033707865168539325,0.004891829768158902,34,89,3
389.0,19249220,19249266,0.025974025974025976,0.006045854154467746,31,77,2
390.0,19249269,19249315,0.0975609756097561,0.0037117997363455544,24,82,8
391.0,19249317,19249364,0.08571428571428572,0.0010120011681126104,26,105,9
392.0,19249366,19249415,0.08045977011494253,0.00470780965160065,25,87,7
393.0,19249416,19249463,0.041237113402061855,0.0051440039802374575,25,97,4
394.0,19249465,19249512,0.061224489795918366,0.00401759110329393,14,98,6
395.0,19249514,19249559,0.060240963855421686,0.004345811384025875,25,83,5
396.0,19249561,19249610,0.10679611650485436,0.0010263243933791213,31,103,11
397.0,19249611,19249660,0.06578947368421052,0.0051508559402837694,24,76,5
398.0,19249661,19249708,0.08064516129032258,0.004944397370621193,25,62,5
399.0,19249710,19249759,0.07317073170731707,0.005461436280679027,31,82,6
400.0,19249760,19249809,0.12121212121212122,0.005996741122833797,23,66,8
401.0,19249810,19249858,0.057971014492753624,0.003838381329979553,14,69,4
402.0,19249863,19249908,0.10638297872340426,0.0010243959267375298,23,47,5
403.0,19249909,19249958,0.10416666666666667,0.0019575476516305573,36,48,5
404.0,19249959,19250007,0.028846153846153848,0.0029782380055522954,22,104,3
405.0,19250011,19250057,0.039473684210526314,0.0011081534537031334,14,152,6
406.0,19250059,19250107,0.07462686567164178,0.0016843496089983692,35,67,5
407.0,19250110,19250156,0.08620689655172414,0.005177754610144935,38,58,5
408.0,19250157,19250205,0.10714285714285714,0.0004262628956038604,26,56,6
409.0,19250207,19250255,0.3591549295774648,0.0005528298927280469,47,142,51
410.0,19250256,19250304,0.0945945945945946,0.002984393326966111,36,74,7
411.0,19250306,19250355,0.05847953216374269,0.005043163397703212,27,171,10
412.0,19250356,19250403,0.09473684210526316,0.00143703131207697,39,95,9
413.0,19250406,19250453,0.1,0.0011256091946494086,33,80,8
414.0,19250455,19250504,0.08791208791208792,0.0013393538067600172,23,91,8
415.0,19250505,19250552,0.08064516129032258,0.0022856427195024143,38,62,5
416.0,19250555,19250603,0.18421052631578946,0.0013024150731671337,31,76,14
417.0,19250605,19250653,0.19230769230769232,0.0012615044066177719,31,104,20
418.0,19250655,19250704,0.039473684210526314,0.0018565480193349436,30,152,6
419.0,19250705,19250752,0.13095238095238096,0.0016194686033915964,26,84,11
420.0,19250753,19250802,0.04201680672268908,0.0028406569158479457,19,119,5
421.0,19250803,19250852,0.06741573033707865,0.005617816632567477,32,89,6
422.0,19250853,19250896,0.1728395061728395,0.001002732245274524,21,81,14
423.0,19250898,19250947,0.12307692307692308,0.0018573208806376197,28,65,8
424.0,19250948,19250997,0.0821917808219178,0.0027010650137829326,28,73,6
425.0,19250998,19251046,0.017857142857142856,0.002049316053814454,25,56,1
426.0,19251047,19251096,0.06,0.0012791413191362091,43,50,3
427.0,19251098,19251144,0.05555555555555555,0.0059667694637381904,34,54,3
428.0,19251146,19251193,0.0392156862745098,0.001184553664184682,30,51,2
429.0,19251198,19251243,0.09302325581395349,0.0012886865901149717,34,43,4
430.0,19251244,19251291,0.0958904109589041,0.0026384053031581534,19,73,7
431.0,19251295,19251342,0.04,0.004540835857708368,20,50,2
432.0,19251344,19251392,0.0967741935483871,0.0009159757493061538,16,62,6
433.0,19251393,19251441,0.03389830508474576,0.00438042324238635,19,59,2
434.0,19251445,19251492,0.018518518518518517,0.0038567019422435177,31,54,1
435.0,19251493,19251542,0.1111111111111111,0.000998961314349222,30,63,7
436.0,19251544,19251590,0.024390243902439025,0.001373371661352051,22,82,2
437.0,19251593,19251641,0.05056179775280899,0.004341857288060598,43,178,9
438.0,19251642,19251691,0.072992700729927,0.0014078412535448927,51,137,10
439.0,19251693,19251735,0.041666666666666664,0.004513269464143704,31,48,2
440.0,19251742,19251790,0.09090909090909091,0.003413804886440806,28,77,7
441.0,19251791,19251839,0.05,0.0027268844529341257,34,60,3
442.0,19251840,19251888,0.1794871794871795,0.0003727604515703664,22,78,14
443.0,19251889,19251938,0.09649122807017543,0.002211012029971136,22,114,11
444.0,19251941,19251985,0.08396946564885496,0.002262075622933267,23,131,11
445.0,19251993,19252035,0.07462686567164178,0.0018477426536781998,20,67,5
446.0,19252042,19252085,0.15730337078651685,0.000999911770754863,30,89,14
447.0,19252087,19252133,0.10638297872340426,0.0010053298689991007,21,94,10
448.0,19252134,19252183,0.07936507936507936,0.004510139016131779,21,126,10
449.0,19252184,19252232,0.07758620689655173,0.005332238317545018,32,116,9
450.0,19252237,19252282,0.08396946564885496,0.005437410909158497,10,131,11
451.0,19252283,19252331,0.03389830508474576,0.0017078440084041593,26,118,4
452.0,19252332,19252381,0.07246376811594203,0.004851076881863004,25,138,10
453.0,19252382,19252430,0.05952380952380952,0.004416534792495985,23,84,5
454.0,19252431,19252474,0.04285714285714286,0.005568650411411303,16,70,3
455.0,19252480,19252529,0.08433734939759036,0.0007337231798535565,16,83,7
456.0,19252530,19252578,0.05405405405405406,0.001213873609432035,23,74,4
457.0,19252579,19252623,0.057971014492753624,0.003959428669743036,22,69,4
458.0,19252627,19252674,0.07236842105263158,0.004296060833964794,13,152,11
459.0,19252675,19252722,0.040268456375838924,0.0009799341445383746,13,149,6
460.0,19252725,19252773,0.044585987261146494,0.0010345465944564059,23,157,7
461.0,19252775,19252822,0.06756756756756757,0.004087208095314665,31,148,10
462.0,19252823,19252872,0.08536585365853659,0.0009891884371647712,13,82,7
463.0,19252873,19252918,0.1111111111111111,0.0010556864822249179,38,108,12
464.0,19252921,19252968,0.08823529411764706,0.0005863732896007909,22,102,9
465.0,19252969,19253018,0.0423728813559322,0.0011887669692965052,24,118,5
466.0,19253019,19253068,0.08943089430894309,0.0027074250024047256,22,123,11
467.0,19253069,19253116,0.0743801652892562,0.001179017677729226,27,121,9
468.0,19253120,19253165,0.07446808510638298,0.004014026147528446,12,94,7
469.0,19253168,19253215,0.05970149253731343,0.0014058251512807569,33,134,8
470.0,19253216,19253263,0.0821917808219178,0.0010452292526333953,18,146,12
471.0,19253270,19253314,0.1,0.0040875581898010445,22,120,12
472.0,19253317,19253362,0.1134020618556701,0.0032759643304360424,20,97,11
473.0,19253366,19253412,0.10317460317460317,0.004134054548302393,22,126,13
474.0,19253413,19253462,0.1232876712328767,0.0027754344780766575,13,219,27
475.0,19253463,19253510,0.1016949152542373,0.0033543290862883164,11,236,24
476.0,19253511,19253560,0.010526315789473684,0.00587758236140905,14,190,2
477.0,19253561,19253610,0.14218009478672985,0.0020598145696013623,12,211,30
478.0,19253612,19253659,0.11904761904761904,0.0039371664746744185,12,168,20
479.0,19253663,19253709,0.05970149253731343,0.003241195498564493,38,134,8
480.0,19253710,19253759,0.04310344827586207,0.004106224409846301,15,116,5
481.0,19253761,19253809,0.10236220472440945,0.006040385128647477,14,127,13
482.0,19253811,19253857,0.1048951048951049,0.0032791855315404436,27,143,15
483.0,19253859,19253906,0.16666666666666666,0.0019394419956327805,15,138,23
484.0,19253907,19253956,0.06422018348623854,0.0048657651975258735,9,109,7
485.0,19253958,19254005,0.0547945205479452,0.004776581826825639,17,73,4
486.0,19254007,19254055,0.06097560975609756,0.0030327837053542054,18,82,5
487.0,19254059,19254105,0.1188118811881188,0.0010329339493407275,24,101,12
488.0,19254106,19254154,0.04878048780487805,0.0018661404501678985,19,82,4
489.0,19254157,19254202,0.09210526315789473,0.0011827475246062654,11,76,7
490.0,19254205,19254254,0.11214953271028037,0.0010238176174837085,12,107,12
491.0,19254257,19254304,0.11926605504587157,0.0016965384835208918,20,109,13
492.0,19254305,19254354,0.029411764705882353,0.0015558877636163357,36,68,2
493.0,19254357,19254402,0.07272727272727272,0.0013444716794095437,13,55,4
494.0,19254404,19254450,0.08196721311475409,0.0010932303801766139,11,61,5
495.0,19254451,19254499,0.05194805194805195,0.002775516037282228,14,77,4
496.0,19254500,19254548,0.04639175257731959,0.0012544653763856461,23,194,9
497.0,19254550,19254599,0.10303030303030303,0.0012260745736273858,15,165,17
498.0,19254606,19254647,0.013333333333333334,0.005133697640196392,16,75,1
499.0,19254650,19254699,0.08045977011494253,0.0020679034746600407,27,87,7
500.0,19254700,19254748,0.08421052631578947,0.0009977701032912098,30,95,8
501.0,19254749,19254795,0.0625,0.004918100361073444,24,80,5
502.0,19254798,19254844,0.07142857142857142,6.260549477956361e-05,24,84,6
503.0,19254847,19254891,0.1111111111111111,0.0010004020804541662,16,81,9
504.0,19254894,19254941,0.045454545454545456,0.0009967171691948277,28,66,3
505.0,19254945,19254992,0.03669724770642202,0.005755406701727861,30,109,4
506.0,19254993,19255042,0.10091743119266056,0.0010003153412935565,13,109,11
507.0,19255043,19255092,0.046875,0.0018108860117487088,25,64,3
508.0,19255093,19255136,0.07692307692307693,0.0022922774759544682,24,65,5
509.0,19255141,19255189,0.05333333333333334,0.006038220522614344,27,75,4
510.0,19255191,19255237,0.023255813953488372,0.006017034055011461,29,86,2
511.0,19255242,19255290,0.14285714285714285,0.0011294875581356046,31,98,14
512.0,19255292,19255339,0.045454545454545456,0.0028572530215649214,29,66,3
513.0,19255341,19255386,0.11956521739130435,0.0010062671942992817,29,92,11
514.0,19255390,19255437,0.046153846153846156,0.00482053544867408,30,65,3
515.0,19255438,19255487,0.11494252873563218,0.001969486396970376,16,174,20
516.0,19255489,19255535,0.05945945945945946,0.0011275028836336117,21,185,11
517.0,19255537,19255586,0.20655737704918034,0.0010038554188345847,22,305,63
518.0,19255590,19255633,0.038461538461538464,0.0034201125285065036,30,234,9
519.0,19255634,19255683,0.06666666666666667,0.0017600618527125412,22,210,14
520.0,19255684,19255728,0.12903225806451613,0.003467594626829382,30,124,16
521.0,19255732,19255781,0.11612903225806452,0.004288365162228906,24,155,18
522.0,19255782,19255830,0.06040268456375839,0.003732583386013102,32,149,9
523.0,19255833,19255877,0.059880239520958084,0.0006250284833639334,22,167,10
524.0,19255882,19255929,0.11258278145695365,0.0006107327921459777,21,151,17
525.0,19255930,19255975,0.12962962962962962,0.002607711618988615,27,108,14
526.0,19255977,19256025,0.1346153846153846,0.001012534594038414,33,104,14
527.0,19256027,19256074,0.13636363636363635,0.0006779295316703083,42,66,9
528.0,19256075,19256122,0.09523809523809523,0.0056673275002685096,25,63,6
529.0,19256125,19256174,0.08064516129032258,0.005715036429534467,48,62,5
530.0,19256175,19256223,0.1095890410958904,0.005112672226052689,34,73,8
531.0,19256224,19256271,0.08433734939759036,0.001007921102141925,50,83,7
532.0,19256272,19256320,0.11764705882352941,0.0009990201904371565,20,102,12
533.0,19256322,19256368,0.21649484536082475,0.000560007180128925,39,97,21
534.0,19256371,19256419,0.1111111111111111,0.0001865639790479454,34,63,7
535.0,19256420,19256468,0.13253012048192772,0.000925263628894182,48,83,11
536.0,19256469,19256518,0.07142857142857142,0.006036802736106943,26,70,5
537.0,19256519,19256567,0.15789473684210525,0.002655938365437852,42,76,12
538.0,19256568,19256615,0.15492957746478872,0.00435214746958086,44,71,11
539.0,19256616,19256665,0.15151515151515152,0.0018933493790454694,26,132,20
540.0,19256666,19256714,0.03,0.005351433537655684,42,100,3
541.0,19256715,19256764,0.1393939393939394,0.00134927977976478,27,165,23
542.0,19256766,19256814,0.08943089430894309,0.0020208423498250857,43,123,11
543.0,19256815,19256864,0.08849557522123894,0.0018050127099155913,39,113,10
544.0,19256866,19256912,0.19469026548672566,0.0009982366366892126,34,113,22
545.0,19256913,19256960,0.0625,0.0012731700652899255,44,80,5
546.0,19256962,19257009,0.11304347826086956,0.0010063447781508321,34,115,13
547.0,19257012,19257059,0.07042253521126761,0.0015550429346501355,32,71,5
548.0,19257061,19257108,0.1076923076923077,0.0011041131304487769,22,65,7
549.0,19257111,19257157,0.09090909090909091,0.0033649057666366605,22,66,6
550.0,19257158,19257206,0.05555555555555555,0.0023089380300874963,17,72,4
551.0,19257207,19257255,0.11392405063291139,0.002185812894542743,21,79,9
552.0,19257258,19257305,0.03875968992248062,0.002585794455026345,29,129,5
553.0,19257306,19257355,0.25,0.0009978445757638757,28,56,14
554.0,19257356,19257403,0.07352941176470588,0.005682829109696601,39,68,5
555.0,19257404,19257451,0.109375,0.0025419863608308383,71,64,7
556.0,19257452,19257500,0.06060606060606061,0.004518389287227906,55,66,4
557.0,19257502,19257550,0.45161290322580644,5.8296479532359085e-05,44,93,42
558.0,19257551,19257600,0.1125,0.001042343371648273,104,80,9
559.0,19257602,19257650,0.057692307692307696,0.0031205747184096426,62,52,3
560.0,19257651,19257699,0.06666666666666667,0.004637744046915323,86,60,4
561.0,19257700,19257747,0.05084745762711865,0.005597159844076409,76,59,3
562.0,19257750,19257796,0.02857142857142857,0.005641231065416905,44,70,2
563.0,19257797,19257846,0.0,0.00604896274377012,60,65,0
