start_block,end_block,uni_lp_return,uni_lp_return_raw,uni_log_cum_return,uni_log_cum_return_raw,uni_cum_simple_return,uni_cum_simple_return_raw
19242839.0,19242887.0,-0.00028227977450663556,7.808596344508777e-06,-0.025685500037474877,-0.014489100013351843,-0.025358433851176976,-0.014384638131883287
19242889.0,19242937.0,0.001488040803830017,0.00011824498129702546,-0.024198565269280298,-0.014370862022441509,-0.023908127431638726,-0.014268094061853032
19242938.0,19242987.0,0.0006093339402088836,0.00023177778182642856,-0.023589416897618426,-0.014139111096935494,-0.023313361524920806,-0.014039623307219196
19242989.0,19243036.0,-0.0009558775782447399,4.74142623145725e-05,-0.02454575161817344,-0.014091697958641517,-0.024246954383610353,-0.013992874723286919
19243037.0,19243085.0,0.001990893006010094,0.00025790332913366306,-0.022556837813161028,-0.013833827880854473,-0.02230433446949953,-0.01373858020312857
19243086.0,19243134.0,0.0029464143937099597,0.00032433322927841884,-0.019614755590845537,-0.013509547236228237,-0.01942363788791268,-0.01341870285193314
19243136.0,19243184.0,0.001648226882242798,3.785878964696371e-05,-0.017967885543820093,-0.013471689163207111,-0.017807425567787583,-0.013381352078134734
19243187.0,19243234.0,0.0009102423227924483,0.00021022158328014382,-0.01705805724035117,-0.013261489673387644,-0.01691339231740685,-0.0131739435438748
19243237.0,19243285.0,0.0005916555789338832,0.00017984357050364555,-0.016466576620572427,-0.013081662272800294,-0.016331743641396335,-0.012996469222415707
19243291.0,19243333.0,-0.00024167457260234463,-6.994749057390925e-05,-0.01670828040118031,-0.013151612209813968,-0.016569471246834278,-0.013065507642581187
19243339.0,19243385.0,-0.0005399363017628078,-6.863391859501724e-05,-0.01724836252103883,-0.013220248483824151,-0.017100461089569974,-0.013133244824188206
19243386.0,19243433.0,-0.001138449471412069,2.546382786629664e-05,-0.018387460518306375,-0.013194784980155633,-0.018219442550093667,-0.013108115419007471
19243435.0,19243481.0,0.001418776087113324,7.959510863176758e-05,-0.016969689943033932,-0.013115193039046345,-0.016826515772390915,-0.01302956365224639
19243488.0,19243534.0,-0.001090748744669689,1.3361912455832876e-05,-0.01806103398703627,-0.01310183121586008,-0.017898911016104635,-0.013016375839679406
19243535.0,19243584.0,0.001290838090227871,8.111045843492475e-05,-0.016771028312030783,-0.01302072404670061,-0.016631177521989948,-0.012936321145456064
19243586.0,19243634.0,0.0014795884197974867,0.00018291791505037783,-0.015292533404679875,-0.012837822859092313,-0.015176196399861563,-0.01275576951529811
19243635.0,19243684.0,-2.4570342534382308e-05,3.4174194525654186e-05,-0.015317104049070022,-0.012803649248491235,-0.015200393858051942,-0.012722031238921239
19243685.0,19243733.0,0.0023736928461695287,0.00021998154709615457,-0.012946223961560433,-0.012583691893787673,-0.012862782078042256,-0.012504848303939164
19243735.0,19243784.0,0.003590257674451078,0.0006223586356487903,-0.009362395877531736,-0.011961526842959208,-0.009318705105661684,-0.011890272168619709
19243786.0,19243834.0,0.005269838459180937,0.0010210944563503782,-0.004106394425802921,-0.0109409533489488,-0.004097974717036323,-0.01088131880326515
19243835.0,19243884.0,-0.0024657852126311612,-7.156309652631093e-05,-0.006575224693455877,-0.011012519006235703,-0.006553655204208475,-0.01095210319892359
19243885.0,19243934.0,-0.001296579713072542,-5.415375103294856e-05,-0.00787264569328008,-0.011066674223635923,-0.00784173758089679,-0.01100566385248658
19243936.0,19243984.0,0.0007677216436897832,-7.593087440640149e-05,-0.007105218597107268,-0.011142607980937084,-0.007080036208871876,-0.011080759057213174
19243986.0,19244032.0,-0.003315106636588674,0.0007140652046021295,-0.010425832374242341,-0.010428797599593519,-0.010371671770437185,-0.010374606237094519
19244033.0,19244081.0,-0.0009711159658344689,-0.00013077517740919372,-0.011397420178684396,-0.010559581328821843,-0.011332715640222979,-0.010504024673532508
19244082.0,19244131.0,0.0008837280298833892,0.00010236718269030233,-0.010514082406512144,-0.010457219385294047,-0.010459002648805504,-0.010402732758254984
19244132.0,19244180.0,-0.001567685905261572,-2.3386846702129212e-05,-0.012082998417103114,-0.010480606505472721,-0.012010292123031396,-0.010425876317840754
19244181.0,19244226.0,-0.0013098521880327665,2.8216372826095292e-05,-0.013393709211359897,-0.010452390530721063,-0.013304412603647897,-0.010397954125427988
19244233.0,19244277.0,-0.001072675215289169,-0.00016427521302579895,-0.0144669601544573,-0.010616679238397536,-0.014362816505283149,-0.010560521212324758
19244279.0,19244327.0,-0.002313477602964549,-0.0005221405882111919,-0.01678311798128805,-0.011138956189474795,-0.016643066053947164,-0.011077147723778324
19244329.0,19244376.0,-0.0030173532116875485,-0.00042973582591483266,-0.01980503258103441,-0.011568784378291758,-0.019610201256824444,-0.01150212330246736
19244381.0,19244424.0,-0.002094796517586057,-0.0003848919790542453,-0.021902026253777046,-0.011953750447275441,-0.02166391839310855,-0.011882588206520328
19244427.0,19244476.0,0.0005214905944058888,-0.00041941889848735593,-0.021380671588336026,-0.01237325732647042,-0.021153725328382555,-0.012297023322951017
19244477.0,19244525.0,0.0014944270178483612,8.824664823342884e-05,-0.019887360115281676,-0.012285014571743344,-0.01969091100919318,-0.012209861845809078
19244528.0,19244574.0,0.0019790030760140657,8.154639217900502e-05,-0.017910312686126015,-0.012203471504290582,-0.017750876306635854,-0.012129311123812547
19244575.0,19244624.0,-0.0012671402086865567,2.7460481348981607e-05,-0.01917825639580415,-0.012176011399973647,-0.01899552366621482,-0.012102183719185367
19244627.0,19244674.0,-0.0012734326278113282,-4.565496124228704e-05,-0.02045250052794815,-0.012221667403435426,-0.02024476677440723,-0.012147286155699044
19244676.0,19244724.0,0.0005495143396219536,0.00014812293917530379,-0.019903137116042195,-0.012073555433379488,-0.01970637722443014,-0.012000962508252111
19244726.0,19244774.0,0.0009746352319155204,0.00020852487236060994,-0.01892897653266321,-0.011865052299308083,-0.018750948522050948,-0.011794940135066656
19244775.0,19244823.0,-0.0015490599528685384,-4.266374003340428e-05,-0.020479237519376442,-0.011907716949464691,-0.020270962131485715,-0.01183710065884036
